question_id,subject_id
1405,"[0, 1, 6, 164]"
1559,"[0, 1, 6, 163]"
452,"[0, 1, 9, 188, 189]"
186,"[0, 39, 67, 134]"
313,"[0, 39, 64, 222]"
1303,"[0, 39, 64, 222]"
1394,"[0, 39, 52, 121]"
144,"[0, 1, 14, 183, 234]"
1649,"[0, 39, 67, 133]"
687,"[0, 68, 80, 237]"
713,"[0, 68, 80, 237]"
708,"[0, 1, 16, 192]"
657,"[0, 39, 50, 138]"
850,"[0, 39, 50, 138]"
25,"[0, 17, 23, 209]"
1655,"[0, 17, 23, 298]"
1223,"[0, 68, 72, 242]"
1213,"[0, 68, 74, 242]"
1216,"[0, 68, 78, 245]"
240,"[0, 1, 7, 98, 145, 180]"
1582,"[0, 68, 238, 241]"
1462,"[0, 1, 6, 162]"
1680,"[0, 1, 6, 162]"
1446,"[0, 1, 7, 181]"
1108,"[0, 17, 29, 116, 118]"
1070,"[0, 39, 55, 119]"
742,"[0, 39, 57, 215]"
1598,"[0, 1, 5, 8, 98, 146, 147, 165, 171]"
257,"[0, 17, 27, 115]"
545,"[0, 17, 31, 104]"
617,"[0, 1, 98, 146]"
457,"[0, 17, 31, 104]"
882,"[0, 17, 31, 104]"
147,"[0, 17, 23, 33, 104, 211]"
501,"[0, 17, 33, 104]"
1663,"[0, 17, 23, 36, 110, 209]"
505,"[0, 17, 26, 107]"
378,"[0, 1, 13, 17, 187, 326]"
1251,"[0, 39, 62, 221]"
627,"[0, 1, 12, 177]"
355,"[0, 17, 198, 308]"
583,"[0, 1, 8, 171]"
1619,"[0, 1, 8, 174]"
459,"[0, 1, 7, 312]"
1393,"[0, 1, 96, 157]"
374,"[0, 1, 14, 183]"
737,"[0, 1, 9, 190]"
146,"[0, 1, 9, 190]"
23,"[0, 17, 22, 107, 108, 207]"
110,"[0, 68, 82, 242]"
388,"[0, 17, 36, 110]"
419,"[0, 17, 36, 110]"
894,"[0, 39, 64, 222]"
1636,"[0, 39, 64, 222]"
1744,"[0, 39, 64, 222]"
1171,"[0, 39, 64, 222]"
250,"[0, 39, 64, 222]"
1261,"[0, 39, 67, 134]"
43,"[0, 39, 67, 134]"
319,"[0, 39, 67, 373]"
428,"[0, 39, 62, 66, 221, 342]"
246,"[0, 39, 66, 227]"
406,"[0, 39, 62, 66, 221, 342]"
802,"[0, 39, 66, 226]"
237,"[0, 1, 13, 186]"
815,"[0, 1, 13, 186]"
446,"[0, 1, 13, 186]"
1375,"[0, 68, 245, 247]"
1177,"[0, 68, 78, 245]"
1568,"[0, 17, 23, 209]"
1325,"[0, 17, 23, 209]"
1244,"[0, 17, 23, 208]"
53,"[0, 17, 23, 208]"
156,"[0, 17, 23, 208]"
1,"[0, 17, 23, 211]"
178,"[0, 1, 12, 179]"
1098,"[0, 1, 12, 177]"
308,"[0, 39, 64, 223]"
332,"[0, 39, 64, 223]"
951,"[0, 17, 103, 197]"
1596,"[0, 17, 35, 105]"
1653,"[0, 17, 28, 105]"
1012,"[0, 17, 105, 106]"
424,"[0, 39, 56, 214]"
436,"[0, 39, 47, 212]"
547,"[0, 39, 47, 212, 302, 303, 304, 370]"
1753,"[0, 39, 42, 46]"
1064,"[0, 39, 42, 46]"
1571,"[0, 39, 42, 46]"
551,"[0, 17, 30, 32, 38, 104]"
1439,"[0, 68, 69, 238]"
1253,"[0, 68, 82, 242]"
136,"[0, 1, 7, 180]"
1384,"[0, 1, 6, 164]"
843,"[0, 17, 19, 102]"
1662,"[0, 17, 35, 105]"
1053,"[0, 1, 5, 167, 314]"
1285,"[0, 39, 42, 126]"
114,"[0, 17, 198, 308]"
420,"[0, 1, 5, 166]"
98,"[0, 1, 96, 98, 145, 156]"
1106,"[0, 1, 9, 190]"
1141,"[0, 1, 6, 164]"
1635,"[0, 1, 6, 164]"
190,"[0, 1, 6, 163, 164]"
702,"[0, 17, 21, 103]"
675,"[0, 17, 21, 103]"
259,"[0, 17, 35, 105]"
476,"[0, 17, 105, 106]"
359,"[0, 1, 3, 96]"
885,"[0, 39, 45, 130]"
730,"[0, 68, 76, 242]"
1174,"[0, 39, 50, 138]"
997,"[0, 39, 50, 137]"
181,"[0, 39, 50, 137]"
151,"[0, 1, 14, 183]"
360,"[0, 1, 12, 179]"
1047,"[0, 1, 12, 179]"
1404,"[0, 1, 12, 179]"
593,"[0, 17, 32, 39, 43, 55, 104, 119, 123]"
804,"[0, 17, 31, 104]"
1082,"[0, 68, 82, 242]"
613,"[0, 68, 82, 242]"
1273,"[0, 39, 42, 119, 120, 283]"
221,"[0, 39, 55, 119]"
1614,"[0, 39, 42, 55, 119, 128]"
1290,"[0, 17, 22, 202]"
883,"[0, 17, 22, 49, 202, 269]"
1324,"[0, 68, 242, 244]"
123,"[0, 39, 43, 123]"
408,"[0, 39, 43, 123]"
1743,"[0, 39, 43, 123]"
1665,"[0, 39, 61, 221]"
1017,"[0, 39, 61, 221]"
1132,"[0, 17, 19, 102]"
508,"[0, 39, 40, 214]"
988,"[0, 39, 42, 55, 119, 128]"
563,"[0, 39, 42, 55, 119, 128]"
164,"[0, 1, 14, 371]"
1481,"[0, 1, 13, 187]"
381,"[0, 1, 12, 179]"
828,"[0, 1, 12, 179]"
699,"[0, 1, 12, 179]"
1764,"[0, 1, 9, 190]"
78,"[0, 1, 9, 189]"
231,"[0, 39, 64, 225]"
1256,"[0, 1, 16, 193]"
528,"[0, 1, 16, 191, 192]"
338,"[0, 1, 16, 191, 192]"
1368,"[0, 17, 27, 114]"
1666,"[0, 39, 65, 139]"
1329,"[0, 39, 65, 139]"
1609,"[0, 39, 45, 129]"
1302,"[0, 39, 42, 46]"
1645,"[0, 68, 85, 242, 244]"
514,"[0, 17, 29, 117]"
235,"[0, 17, 25, 107]"
887,"[0, 17, 25, 36, 107, 110]"
1274,"[0, 17, 30, 32, 38, 104, 194, 195]"
660,"[0, 17, 103, 199]"
184,"[0, 1, 6, 162]"
777,"[0, 1, 9, 17, 30, 38, 190, 194]"
915,"[0, 17, 30, 38, 194]"
72,"[0, 17, 20, 103]"
429,"[0, 17, 35, 105]"
1164,"[0, 17, 18, 102]"
1212,"[0, 17, 32, 104]"
1267,"[0, 17, 32, 104]"
1136,"[0, 17, 32, 104]"
1759,"[0, 17, 32, 104]"
839,"[0, 17, 32, 104]"
1491,"[0, 17, 27, 113]"
1067,"[0, 17, 27, 113]"
155,"[0, 17, 29, 116]"
1731,"[0, 68, 70, 238]"
48,"[0, 68, 238, 241]"
253,"[0, 68, 80, 237]"
751,"[0, 39, 67, 134]"
989,"[0, 17, 49, 266]"
1266,"[0, 17, 22, 200]"
435,"[0, 17, 22, 200]"
661,"[0, 1, 14, 371]"
1603,"[0, 1, 14, 183, 234]"
1656,"[0, 1, 14, 371]"
1526,"[0, 1, 14, 183, 234]"
1362,"[0, 1, 232, 233]"
1159,"[0, 1, 13, 186]"
1534,"[0, 39, 56, 214]"
407,"[0, 68, 78, 245]"
1323,"[0, 68, 79, 245]"
138,"[0, 68, 242, 244, 245, 250]"
215,"[0, 39, 47, 213]"
906,"[0, 39, 121, 122]"
1533,"[0, 39, 48, 215]"
1691,"[0, 39, 42, 44]"
1517,"[0, 17, 33, 104]"
1183,"[0, 17, 23, 208]"
525,"[0, 39, 45, 131]"
466,"[0, 39, 45, 131]"
1127,"[0, 39, 53, 57, 61, 123, 215, 221]"
1688,"[0, 39, 57, 215]"
875,"[0, 39, 62, 66, 221, 227]"
1748,"[0, 39, 62, 66, 221, 342]"
552,"[0, 39, 62, 66, 221, 227]"
620,"[0, 17, 31, 104]"
587,"[0, 1, 96, 98, 147, 156, 159]"
1204,"[0, 1, 98, 147]"
160,"[0, 1, 9, 190]"
1026,"[0, 1, 9, 189]"
471,"[0, 1, 9, 189]"
119,"[0, 1, 9, 190]"
1284,"[0, 1, 9, 190]"
1416,"[0, 17, 18, 30, 102, 194]"
928,"[0, 17, 28, 105]"
555,"[0, 17, 29, 117]"
225,"[0, 17, 29, 116]"
841,"[0, 17, 29, 116]"
1757,"[0, 68, 85, 242]"
962,"[0, 68, 73, 242]"
51,"[0, 68, 82, 242]"
857,"[0, 1, 12, 179]"
991,"[0, 1, 12, 177]"
263,"[0, 1, 13, 186]"
340,"[0, 1, 14, 39, 43, 123, 183]"
9,"[0, 39, 64, 225]"
807,"[0, 39, 64, 222]"
1089,"[0, 17, 49, 266]"
1570,"[0, 17, 22, 200]"
1058,"[0, 17, 22, 201]"
1194,"[0, 17, 22, 205]"
573,"[0, 17, 25, 107]"
1111,"[0, 39, 58, 220]"
1584,"[0, 39, 215, 216]"
1031,"[0, 1, 96, 157]"
387,"[0, 1, 96, 158, 159]"
344,"[0, 1, 3, 96]"
102,"[0, 1, 3, 96]"
830,"[0, 1, 14, 371]"
688,"[0, 39, 42, 44]"
608,"[0, 17, 27, 113]"
785,"[0, 17, 27, 112]"
1617,"[0, 17, 27, 113]"
93,"[0, 68, 78, 245]"
1621,"[0, 68, 242, 374]"
1528,"[0, 68, 245, 247]"
1761,"[0, 39, 57, 215]"
177,"[0, 39, 57, 215]"
752,"[0, 17, 24, 36, 107, 110]"
513,"[0, 17, 24, 36, 107, 110]"
1052,"[0, 39, 64, 223]"
683,"[0, 68, 69, 238]"
871,"[0, 68, 72, 74, 76, 83, 242]"
467,"[0, 39, 42, 46]"
1275,"[0, 17, 107, 108]"
179,"[0, 17, 107, 108]"
1387,"[0, 17, 198, 307]"
1745,"[0, 17, 198, 308]"
762,"[0, 86, 99, 279]"
897,"[0, 39, 62, 66, 221, 227]"
128,"[0, 39, 62, 66, 221, 226]"
1220,"[0, 39, 62, 66, 221, 227]"
877,"[0, 39, 62, 66, 221, 342]"
1679,"[0, 39, 62, 66, 221, 227]"
656,"[0, 1, 13, 186]"
1218,"[0, 1, 13, 187]"
1118,"[0, 1, 13, 186]"
1438,"[0, 1, 6, 162]"
1382,"[0, 39, 56, 214]"
298,"[0, 1, 11, 155]"
112,"[0, 17, 30, 194]"
1698,"[0, 68, 76, 242]"
85,"[0, 1, 8, 172]"
413,"[0, 1, 8, 173]"
1553,"[0, 17, 32, 104]"
242,"[0, 17, 22, 205]"
1519,"[0, 17, 30, 194]"
1573,"[0, 86, 99, 279, 280]"
1200,"[0, 39, 43, 123]"
1317,"[0, 1, 96, 157]"
945,"[0, 17, 49, 270]"
1483,"[0, 1, 98, 147]"
504,"[0, 17, 22, 327]"
1377,"[0, 39, 67, 134]"
1424,"[0, 1, 8, 168]"
1336,"[0, 1, 8, 169]"
1469,"[0, 17, 31, 104]"
961,"[0, 39, 67, 134]"
385,"[0, 17, 18, 19, 20, 21, 102, 103]"
21,"[0, 17, 18, 102]"
103,"[0, 39, 51, 119]"
669,"[0, 1, 98, 147]"
537,"[0, 1, 12, 176]"
1227,"[0, 39, 65, 139]"
946,"[0, 68, 73, 242]"
755,"[0, 1, 98, 151]"
1350,"[0, 1, 5, 165, 166]"
8,"[0, 1, 98, 146]"
773,"[0, 1, 98, 149]"
664,"[0, 68, 69, 238]"
333,"[0, 1, 8, 171]"
1403,"[0, 39, 42, 126]"
321,"[0, 1, 14, 234]"
578,"[0, 1, 98, 147]"
1773,"[0, 1, 2, 98]"
238,"[0, 39, 53, 123]"
1453,"[0, 1, 12, 176]"
892,"[0, 39, 42, 283]"
765,"[0, 1, 8, 173]"
1618,"[0, 17, 29, 116]"
2,"[0, 1, 98, 150]"
783,"[0, 1, 2, 98]"
1029,"[0, 1, 98, 150]"
970,"[0, 1, 6, 164]"
607,"[0, 39, 65, 152]"
1719,"[0, 68, 73, 242]"
600,"[0, 1, 7, 180, 312]"
1065,"[0, 1, 8, 171, 173]"
1135,"[0, 1, 8, 171]"
337,"[0, 1, 98, 150]"
1334,"[0, 39, 41, 42, 125]"
1672,"[0, 17, 29, 116]"
1238,"[0, 1, 98, 145]"
1231,"[0, 1, 98, 145, 149]"
597,"[0, 1, 5, 165]"
1093,"[0, 1, 8, 175]"
1726,"[0, 17, 29, 116]"
311,"[0, 39, 65, 152]"
1225,"[0, 1, 8, 175]"
219,"[0, 39, 123, 299]"
649,"[0, 39, 64, 222]"
234,"[0, 68, 76, 242]"
485,"[0, 17, 30, 195, 196]"
948,"[0, 39, 65, 152]"
1586,"[0, 1, 98, 147]"
1725,"[0, 39, 42, 126]"
662,"[0, 39, 41, 42]"
1328,"[0, 68, 80, 236]"
1307,"[0, 68, 73, 242]"
455,"[0, 68, 73, 242]"
38,"[0, 1, 98, 147]"
1115,"[0, 1, 12, 176]"
37,"[0, 39, 62, 221]"
1448,"[0, 17, 49, 337]"
216,"[0, 17, 49, 266]"
412,"[0, 17, 49, 337]"
1423,"[0, 1, 6, 162]"
20,"[0, 17, 35, 105]"
1412,"[0, 39, 60, 221]"
159,"[0, 39, 42, 127]"
845,"[0, 1, 96, 156]"
494,"[0, 39, 59, 221]"
564,"[0, 39, 59, 62, 221]"
955,"[0, 17, 30, 38]"
1125,"[0, 17, 30, 38]"
1504,"[0, 1, 9, 190]"
39,"[0, 39, 67, 133]"
57,"[0, 39, 67, 133]"
330,"[0, 39, 45, 132]"
1142,"[0, 1, 8, 172]"
1196,"[0, 1, 8, 173]"
697,"[0, 1, 8, 175]"
575,"[0, 17, 22, 200]"
1195,"[0, 17, 25, 107]"
1059,"[0, 17, 22, 200]"
417,"[0, 1, 9, 15]"
224,"[0, 1, 9, 15]"
784,"[0, 17, 102, 235]"
1402,"[0, 17, 102, 235]"
1299,"[0, 17, 49, 268]"
1320,"[0, 17, 22, 300]"
1120,"[0, 17, 22, 204]"
1642,"[0, 17, 37, 104]"
325,"[0, 17, 37, 104]"
1237,"[0, 17, 37, 104]"
66,"[0, 17, 37, 104]"
939,"[0, 17, 32, 104]"
460,"[0, 17, 32, 104]"
74,"[0, 17, 22, 202]"
299,"[0, 17, 103, 199]"
726,"[0, 17, 26, 107]"
1537,"[0, 17, 26, 107]"
391,"[0, 17, 26, 107]"
1092,"[0, 1, 16, 191]"
172,"[0, 1, 16, 193]"
530,"[0, 1, 12, 176]"
1004,"[0, 1, 12, 177]"
158,"[0, 17, 104, 297]"
876,"[0, 39, 42, 283]"
500,"[0, 39, 42, 128]"
891,"[0, 1, 11, 153]"
6,"[0, 1, 96, 157]"
425,"[0, 1, 98, 151]"
1434,"[0, 1, 98, 150]"
236,"[0, 1, 6, 164]"
200,"[0, 1, 98, 145]"
1515,"[0, 1, 6, 163]"
633,"[0, 1, 98, 146]"
366,"[0, 1, 98, 147]"
1249,"[0, 1, 98, 145]"
628,"[0, 1, 98, 145]"
893,"[0, 1, 98, 145]"
1485,"[0, 1, 11, 154]"
1013,"[0, 1, 96, 156]"
1450,"[0, 1, 96, 156]"
701,"[0, 1, 98, 377]"
1588,"[0, 17, 29, 116]"
903,"[0, 1, 98, 145]"
1025,"[0, 1, 98, 145]"
729,"[0, 1, 96, 156]"
700,"[0, 1, 98, 145]"
1169,"[0, 1, 98, 146]"
1730,"[0, 1, 11, 154]"
478,"[0, 1, 98, 145]"
924,"[0, 1, 98, 145]"
1520,"[0, 1, 98, 145]"
598,"[0, 1, 98, 145]"
432,"[0, 1, 98, 145]"
1074,"[0, 1, 98, 146]"
1638,"[0, 1, 10, 232]"
1524,"[0, 1, 10, 232]"
1322,"[0, 1, 98, 147]"
805,"[0, 1, 98, 147]"
796,"[0, 1, 98, 150]"
1493,"[0, 1, 98, 150]"
189,"[0, 1, 98, 149]"
1769,"[0, 1, 98, 147]"
721,"[0, 1, 98, 144]"
1288,"[0, 1, 98, 144]"
1652,"[0, 39, 51, 119]"
691,"[0, 1, 98, 144]"
1722,"[0, 1, 98, 146, 147]"
411,"[0, 1, 98, 147]"
1133,"[0, 1, 2, 98]"
152,"[0, 1, 8, 168]"
529,"[0, 1, 8, 168]"
256,"[0, 1, 8, 168]"
979,"[0, 1, 8, 168]"
790,"[0, 1, 8, 168]"
558,"[0, 1, 12, 177]"
95,"[0, 1, 98, 147]"
1138,"[0, 1, 98, 145]"
553,"[0, 1, 98, 145]"
1139,"[0, 1, 12, 176]"
111,"[0, 1, 8, 168, 170]"
301,"[0, 1, 8, 168, 170]"
121,"[0, 1, 98, 145]"
